no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category
525.0,2023-11-09,ElJahliye,2023-11-09,150.95,150.0,48.0,183.3043478,3.81884058,54.18,63.54,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,14.6,1.81333333333333,8.05147058823531,1,low
526.0,2023-11-09,ElJahliye,2023-11-09,179.66,180.0,63.0,473.9072165,7.52233677,58.125,68.35,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,15.2,2.06933333333333,7.34536082474228,1,high
527.0,2023-11-09,ElJahliye,2023-11-09,202.96,200.0,69.0,440.556701,6.384879725,61.595,72.3,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,15.6,1.792,8.70535714285714,1,high
528.0,2023-11-09,ElJahliye,2023-11-09,198.14,200.0,66.0,255.1546392,3.865979381,62.49,69.88,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,16.0,1.57866666666667,10.1351351351351,1,moderate
529.0,2023-11-09,ElJahliye,2023-11-09,182.62,180.0,57.0,261.4948454,4.587628866,57.5,77.04,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,16.2,1.6,10.125,1,moderate
530.0,2023-11-09,ElJahliye,2023-11-09,157.66,160.0,46.0,153.3333333,3.333333333,55.5,64.89,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,14.4,2.176,6.61764705882353,1,low
531.0,2023-11-09,ElJahliye,2023-11-09,194.92,200.0,56.0,290.5841924,5.189003436,60.495,72.3,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,14.2,2.048,6.93359375,1,moderate
532.0,2023-11-09,ElJahliye,2023-11-09,155.82,150.0,49.0,214.185567,4.371134021,55.925,65.02,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,15.4,1.64266666666667,9.37499999999998,1,moderate
533.0,2023-11-09,ElJahliye,2023-11-09,126.21,130.0,38.0,123.4020619,3.24742268,51.21,60.8,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,14.0,2.21866666666667,6.31009615384614,1,low
534.0,2023-11-09,ElJahliye,2023-11-09,187.54,190.0,63.0,218.2268041,3.463917526,53.46,74.85,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,10.0,1.89866666666667,5.26685393258426,1,moderate
535.0,2023-11-09,ElJahliye,2023-11-09,170.24,160.0,54.0,291.1546392,5.391752577,56.795,70.91,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,15.2,2.048,7.421875,1,moderate
536.0,2023-11-09,ElJahliye,2023-11-09,189.52,180.0,62.0,280.1718213,4.518900344,57.905,62.89,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,16.4,1.81333333333333,9.04411764705884,1,moderate
537.0,2023-11-09,ElJahliye,2023-11-09,147.2,140.0,48.0,218.7216495,4.556701031,53.96,64.59,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,10.0,1.96266666666667,5.09510869565217,1,moderate
