no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category,mean_R,mean_G,mean_B,mean_intensity,variance_intensity,skewness_intensity,kurtosis_intensity,median_intensity,mode_intensity,mean_a,mean_b,mean_L,mean_intensity_lab,variance_intensity_lab,skewness_intensity_lab,kurtosis_intensity_lab,median_intensity_lab,mode_intensity_lab
41.0,2023-09-08,ElJahliye,2023-09-07,62.58,60.0,21.0,44.7391304,2.130434783,38.07,47.2,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,14.1,4.544,3.10299295774648,1,low,145.75558,133.9628,109.59552,0.0,1636.6132763099997,6418.714270730209,7257083.127738465,128.0,128.0,145.75558,133.9628,109.59552,0.0,1636.6132763099997,6418.714270730209,7257083.127738465,128.0,128.0
42.0,2023-09-08,ElJahliye,2023-09-07,103.14,100.0,39.0,69.4409938,1.780538302,48.98,58.2,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.9,2.88,4.82638888888889,1,low,156.3955,120.97956,121.992,0.0,917.260756328489,26664.874908444617,2574860.2978083803,126.0,128.0,156.3955,120.97956,121.992,0.0,917.260756328489,26664.874908444617,2574860.2978083803,126.0,128.0
43.0,2023-09-08,ElJahliye,2023-09-07,97.81,90.0,34.0,82.9937888,2.440993789,46.465,55.48,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,14.2,2.368,5.99662162162162,1,low,157.69896,120.62716,120.33386,0.0,616.3940140443999,18324.90028861598,1363064.7926290086,126.0,128.0,157.69896,120.62716,120.33386,0.0,616.3940140443999,18324.90028861598,1363064.7926290086,126.0,128.0
44.0,2023-09-08,ElJahliye,2023-09-07,83.05,80.0,25.0,49.5859213,1.983436853,48.3,48.23,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.1,2.144,5.64365671641791,1,low,168.05924,119.42026,119.65876,0.0,945.5407360191558,29936.93788809897,2716470.1360826525,125.0,125.0,168.05924,119.42026,119.65876,0.0,945.5407360191558,29936.93788809897,2716470.1360826525,125.0,125.0
45.0,2023-09-08,ElJahliye,2023-09-07,70.44,60.0,24.0,53.3664596,2.223602484,31.9,46.98,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,10.0,2.144,4.66417910447761,1,low,141.83404,128.81538,109.71508,0.0,1296.471533305555,27609.220091755993,5706069.504272425,126.0,128.0,141.83404,128.81538,109.71508,0.0,1296.471533305555,27609.220091755993,5706069.504272425,126.0,128.0
46.0,2023-09-11,Rachiine,2023-09-11,375.21,350.0,131.0,162.5120275,1.24054983,80.275,88.73,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,13.2,2.24,5.89285714285714,0,low,159.26646,117.7345,122.7114,0.0,686.6464692478222,22345.81942591093,1567266.7539597522,126.0,128.0,159.26646,117.7345,122.7114,0.0,686.6464692478222,22345.81942591093,1567266.7539597522,126.0,128.0
47.0,2023-09-11,Rachiine,2023-09-11,364.47,350.0,120.0,287.0103093,2.39175258,89.165,98.15,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,14.4,2.496,5.76923076923077,0,moderate,164.86732,122.0991,118.02498,0.0,842.7929784488888,25914.14407297158,2226389.1499633915,126.0,128.0,164.86732,122.0991,118.02498,0.0,842.7929784488888,25914.14407297158,2226389.1499633915,126.0,128.0
48.0,2023-09-11,Rachiine,2023-09-11,360.54,350.0,100.0,247.0790378,2.47079038,83.15,93.17,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,14.2,2.528,5.61708860759494,0,moderate,160.0412,118.33032,124.41566,0.0,733.0609164052888,22145.339435307826,1642149.5583631922,126.0,128.0,160.0412,118.33032,124.41566,0.0,733.0609164052888,22145.339435307826,1642149.5583631922,126.0,128.0
49.0,2023-09-11,Rachiine,2023-09-11,230.73,220.0,90.0,251.7525773,2.79725086,61.47,73.15,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,15.0,3.264,4.59558823529412,0,moderate,167.3316,120.56968,118.21504,0.0,851.1724166286222,31220.74851139222,2377048.203055663,126.0,125.0,167.3316,120.56968,118.21504,0.0,851.1724166286222,31220.74851139222,2377048.203055663,126.0,125.0
50.0,2023-09-11,Rachiine,2023-09-11,336.08,320.0,110.0,268.7628866,2.44329897,78.62,81.91,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,12.2,2.048,5.95703125,0,moderate,141.52666,131.77698,104.72094,0.0,1142.5434862026223,25976.96287389243,4122817.702091534,126.0,128.0,141.52666,131.77698,104.72094,0.0,1142.5434862026223,25976.96287389243,4122817.702091534,126.0,128.0
